Epoka,Strata_treningowa,Strata_walidacyjna,Dokładność_treningowa,Dokładność_walidacyjna
1,1.7688795558393817,1.8709947060152983,41.959659115241315,37.47751349190486
2,1.4038152075793646,1.506785684403115,53.6636546614706,52.56845892464521
3,1.2157654020067763,2.3372090630363793,60.28435613035844,41.774935038976615
4,1.0760825679318546,1.27833465165251,64.7937989807717,60.703577853288024
5,0.9386553431210453,1.233748480464053,68.7850627382125,61.02338596841895
6,0.813379769578372,1.2973065271226178,72.92193053830671,60.22386568059164
7,0.6904099574440146,1.3433639833727364,76.9303241831185,62.30261842894264
8,0.5761081974800318,1.480677911756667,80.65179221446618,61.34319408354987
9,0.45894532057724585,1.5629990199405794,84.58738383795126,61.18329002598441
10,0.3624562957362361,1.5516971198391099,87.76926041711276,63.42194683190086
